Exp100-Sample1.all_Tn5-CAGGAG_BC00875_N01	B-like-1
Exp100-Sample1.all_Tn5-CAGGAG_BC01044_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01077_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01083_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01161_N02	NK-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01221_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01236_N01	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01345_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01364_N03	mDC-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01384_N01	NK-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01442_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01571_N02	Collision
Exp100-Sample1.all_Tn5-CAGGAG_BC01602_N03	CD34-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01609_N01	Mono-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01750_N03	CD8-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01756_N03	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01772_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01912_N02	Late-Ery
Exp100-Sample1.all_Tn5-CAGGAG_BC01915_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC01935_N02	Collision
Exp100-Sample1.all_Tn5-CAGGAG_BC01984_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC02054_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC02121_N01	mDC-like
Exp100-Sample1.all_Tn5-CAGGAG_BC02369_N02	CD8-like
Exp100-Sample1.all_Tn5-CAGGAG_BC02520_N02	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC02802_N03	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC02831_N04	CMP-like
Exp100-Sample1.all_Tn5-CAGGAG_BC02834_N04	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC02835_N05	B-like-2
Exp100-Sample1.all_Tn5-CAGGAG_BC02840_N04	mDC-like
Exp100-Sample1.all_Tn5-CAGGAG_BC03088_N03	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC03229_N05	mDC-like
Exp100-Sample1.all_Tn5-CAGGAG_BC03649_N03	B-like-1
Exp100-Sample1.all_Tn5-CAGGAG_BC03679_N02	mDC-like
Exp100-Sample1.all_Tn5-CAGGAG_BC03812_N04	CD4-like
Exp100-Sample1.all_Tn5-CAGGAG_BC03814_N03	CD34-like
Exp100-Sample1.all_Tn5-CAGGAG_BC04433_N03	Collision
Exp100-Sample1.all_Tn5-CAGGAG_BC04485_N03	NK-like
Exp100-Sample1.all_Tn5-CAGGAG_BC04583_N02	mDC-like
Exp100-Sample1.all_Tn5-CAGGAG_BC04720_N03	Late-Ery
Exp100-Sample1.all_Tn5-CATAGA_BC00570_N02	mDC-like
Exp100-Sample1.all_Tn5-CATAGA_BC00689_N01	CD34-like
