cell_ID	tSNE1	tSNE2	cellType
CD34_Donor1_S1_BC0602_N01	26.53	-4.63	CD34
CD34_Donor1_S1_BC0605_N01	8.88	-28.38	CD34
CD34_Donor1_S1_BC0606_N01	8.38	-29.83	CD34
CD34_Donor1_S1_BC0608_N01	5.45	-7.35	CD34
CD34_Donor1_S1_BC0609_N01	9.13	-12.96	CD34
CD34_Donor1_S1_BC0610_N01	10.04	-9.76	CD34
CD34_Donor1_S1_BC0612_N01	21.91	-6.77	CD34
CD34_Donor1_S1_BC0613_N01	11.50	-13.86	CD34
CD34_Donor1_S1_BC0614_N01	22.31	-22.04	CD34
CD34_Donor1_S1_BC0616_N02	2.27	-10.64	CD34
CD34_Donor1_S1_BC0617_N01	19.82	-18.93	CD34
CD34_Donor1_S1_BC0619_N01	9.17	-13.23	CD34
CD34_Donor1_S1_BC0620_N01	18.34	-10.61	CD34
CD34_Donor1_S1_BC0621_N01	22.63	-10.89	CD34
CD34_Donor1_S1_BC0622_N01	5.66	-17.79	CD34
CD34_Donor1_S1_BC0628_N01	17.10	-9.86	CD34
CD34_Donor1_S1_BC0629_N01	7.67	-29.99	CD34
CD34_Donor1_S1_BC0630_N01	1.59	-32.91	CD34
CD34_Donor1_S1_BC0631_N01	21.90	-10.16	CD34
CD34_Donor1_S1_BC0633_N01	11.03	-18.36	CD34
CD34_Donor1_S1_BC0635_N01	23.21	-1.39	CD34
CD34_Donor1_S1_BC0636_N01	9.01	-28.36	CD34
CD34_Donor1_S1_BC0637_N01	6.02	-15.23	CD34
CD34_Donor1_S1_BC0641_N01	14.45	-8.70	CD34
CD34_Donor1_S1_BC0645_N02	7.76	-10.47	CD34
CD34_Donor1_S1_BC0647_N01	12.08	-10.33	CD34
CD34_Donor1_S1_BC0649_N01	17.18	-17.25	CD34
CD34_Donor1_S1_BC0651_N01	9.08	-27.72	CD34
CD34_Donor1_S1_BC0652_N01	13.07	-16.94	CD34
CD34_Donor1_S1_BC0653_N01	2.22	-10.67	CD34
CD34_Donor1_S1_BC0655_N01	3.59	-28.50	CD34
CD34_Donor1_S1_BC0659_N01	25.86	-22.10	CD34
CD34_Donor1_S1_BC0661_N01	24.33	21.40	CD34
CD34_Donor1_S1_BC0662_N01	12.18	-10.18	CD34
CD34_Donor1_S1_BC0663_N01	16.12	-8.86	CD34
CD34_Donor1_S1_BC0667_N01	24.92	-3.48	CD34
CD34_Donor1_S1_BC0668_N01	21.07	-13.81	CD34
CD34_Donor1_S1_BC0669_N01	8.62	-2.69	CD34
CD34_Donor1_S1_BC0671_N01	13.78	-13.89	CD34
CD34_Donor1_S1_BC0673_N01	23.38	18.37	CD34
