tSNE1	tSNE2	cluster_id	cell_id
3.24	-20.81	V23	N701_Exp119_sample1_S1_BC0367_N03
22.92	-17.69	V9	N701_Exp119_sample1_S1_BC0368_N03
-11.52	5.59	V25	N701_Exp119_sample1_S1_BC0369_N02
-10.3	11.51	V25	N701_Exp119_sample1_S1_BC0370_N01
18.87	3.03	V21	N701_Exp119_sample1_S1_BC0371_N02
-12.76	13.01	V11	N701_Exp119_sample1_S1_BC0372_N03
9.56	-12.12	V13	N701_Exp119_sample1_S1_BC0373_N02
1.81	-21.91	V23	N701_Exp119_sample1_S1_BC0374_N01
-2.46	4.29	V25	N701_Exp119_sample1_S1_BC0375_N04
-3.72	-29.23	V22	N701_Exp119_sample1_S1_BC0376_N02
-2.54	9.9	V25	N701_Exp119_sample1_S1_BC0377_N01
14.81	-6.66	V13	N701_Exp119_sample1_S1_BC0378_N03
-33.95	-6.14	V10	N701_Exp119_sample1_S1_BC0379_N01
-13.99	30.18	V15	N701_Exp119_sample1_S1_BC0380_N02
28.53	-3.76	V16	N701_Exp119_sample1_S1_BC0381_N02
26.69	-17.96	V9	N701_Exp119_sample1_S1_BC0382_N02
29.53	9.28	V8	N701_Exp119_sample1_S1_BC0383_N01
14.69	-14.52	V13	N701_Exp119_sample1_S1_BC0384_N03
3.19	6.16	V25	N701_Exp119_sample1_S1_BC0385_N02
35.18	2.89	V7	N701_Exp119_sample1_S1_BC0386_N03
27.1	-21.1	V9	N701_Exp119_sample1_S1_BC0387_N02
1.73	28.04	V4	N701_Exp119_sample1_S1_BC0388_N02
1.65	28.11	V4	N701_Exp119_sample1_S1_BC0389_N01
-3.85	11.38	V25	N701_Exp119_sample1_S1_BC0390_N02
-12.68	8.35	V25	N701_Exp119_sample1_S1_BC0391_N03
14.89	3.33	V21	N701_Exp119_sample1_S1_BC0392_N01
-8.51	0.53	V25	N701_Exp119_sample1_S1_BC0393_N03
28.89	8.72	V8	N701_Exp119_sample1_S1_BC0394_N02
29.34	9.61	V8	N701_Exp119_sample1_S1_BC0395_N02
-4.4	-5.54	V19	N701_Exp119_sample1_S1_BC0396_N02
4.65	20.07	V20	N701_Exp119_sample1_S1_BC0397_N03
16.24	-24.75	V5	N701_Exp119_sample1_S1_BC0398_N03
8.07	14.93	V20	N701_Exp119_sample1_S1_BC0399_N02
-16.65	29.48	V15	N701_Exp119_sample1_S1_BC0400_N02
0.28	3.53	V25	N701_Exp119_sample1_S1_BC0401_N01
6.83	18.31	V20	N701_Exp119_sample1_S1_BC0402_N02
6.65	21	V20	N701_Exp119_sample1_S1_BC0403_N01
-6.67	11.57	V25	N701_Exp119_sample1_S1_BC0404_N02
17.68	-27.5	V5	N701_Exp119_sample1_S1_BC0405_N02
21.1	-10.82	V16	N701_Exp119_sample1_S1_BC0406_N01
25.68	-7.72	V16	N701_Exp119_sample1_S1_BC0407_N03
14.11	7.97	V21	N701_Exp119_sample1_S1_BC0408_N02
