DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N715_Exp77_sample12_S1_BC141_N01,0,0.339,207,188,352,183885,187237,664240,2651,257,0.718,193484
N715_Exp77_sample12_S1_BC142_N01,0,0.272,229,207,183232,483,187125,393010,88632,156,0.524,227612
N715_Exp77_sample12_S1_BC143_N02,0,0.349,204,187,565,283721,292383,1111712,13127,621,0.737,299726
N715_Exp77_sample12_S1_BC144_N01,0,0.309,210,190,335,183083,186466,500348,12534,330,0.627,204032
N715_Exp77_sample12_S1_BC145_N01,0,0.338,215,194,393,182083,185496,746625,1183,322,0.752,189148
N715_Exp77_sample12_S1_BC146_N01,0,0.306,199,182,275,182540,185410,515906,6624,265,0.641,200786
N715_Exp77_sample12_S1_BC147_N02,0,0.305,201,196,207366,774,212680,716867,334557,365,0.703,221363
N715_Exp77_sample12_S1_BC148_N01,0,0.24,227,206,181105,627,184761,539900,207415,199,0.658,197625
N715_Exp77_sample12_S1_BC149_N01,0,0.345,213,192,322,180995,184563,691445,25162,288,0.733,189494
N715_Exp77_sample12_S1_BC150_N01,0,0.303,230,211,180240,909,184272,590894,261984,320,0.688,193379
N715_Exp77_sample12_S1_BC151_N02,0,0.31,225,210,270521,911,279606,903995,429452,457,0.691,293001
N715_Exp77_sample12_S1_BC152_N02,0,0.326,231,209,209579,602,214455,500598,242719,336,0.572,247003
N715_Exp77_sample12_S1_BC153_N01,0,0.342,196,183,278,180298,183104,720244,7824,209,0.746,187086
N715_Exp77_sample12_S1_BC154_N01,0,0.38,198,186,267,179667,182222,539001,20208,252,0.662,194363
N715_Exp77_sample12_S1_BC155_N02,0,0.265,235,214,222160,605,227884,683977,318849,217,0.667,242281
N715_Exp77_sample12_S1_BC156_N02,0,0.413,215,194,387,217856,225966,867887,20056,553,0.74,231405
N715_Exp77_sample12_S1_BC157_N01,0,0.252,233,207,176980,623,180949,468509,350306,187,0.614,200244
N715_Exp77_sample12_S1_BC158_N01,0,0.324,208,188,334,176751,180058,795145,20687,198,0.774,182390
N715_Exp77_sample12_S1_BC159_N01,0,0.321,209,197,174716,627,177518,448240,399069,277,0.604,198152
N715_Exp77_sample12_S1_BC160_N01,0,0.325,226,203,314,172819,177082,530793,5517,235,0.666,188324
N715_Exp77_sample12_S1_BC161_N02,0,0.339,193,194,255282,702,260247,703630,343844,299,0.63,284124
N715_Exp77_sample12_S1_BC162_N02,0,0.346,217,195,452,211504,219859,846570,14805,545,0.74,225095
N715_Exp77_sample12_S1_BC163_N01,0,0.294,222,202,172057,603,175384,590491,181130,217,0.703,182576
N715_Exp77_sample12_S1_BC164_N01,0,0.271,229,208,170841,796,174552,555081,642789,243,0.686,183454
N715_Exp77_sample12_S1_BC165_N02,0,0.363,201,181,355,228874,234713,806231,30171,453,0.709,243614
N715_Exp77_sample12_S1_BC166_N01,0,0.321,211,193,247,171634,174433,545840,4861,263,0.68,183882
N715_Exp77_sample12_S1_BC167_N01,0,0.334,201,186,297,171194,173905,587506,11447,196,0.704,180943
N715_Exp77_sample12_S1_BC168_N01,0,0.31,222,198,298,169724,173340,444633,15445,242,0.61,192428
N715_Exp77_sample12_S1_BC169_N02,0,0.334,203,185,392,272833,280575,1059249,18129,457,0.735,287835
N715_Exp77_sample12_S1_BC170_N01,0,0.391,216,197,278,170572,173236,525572,16401,234,0.67,183758
N715_Exp77_sample12_S1_BC171_N01,0,0.282,217,196,169555,738,172986,623122,342368,281,0.722,178414
N715_Exp77_sample12_S1_BC172_N01,0,0.318,214,195,249,169546,172507,475210,5388,191,0.637,187329
N715_Exp77_sample12_S1_BC173_N01,0,0.343,201,183,202,169934,172458,562128,20803,331,0.693,180468
N715_Exp77_sample12_S1_BC174_N01,0,0.236,225,210,168574,360,171943,378391,183958,119,0.546,203754
N715_Exp77_sample12_S1_BC175_N02,0,0.359,213,193,460,211191,219724,911643,3842,572,0.759,223507
N715_Exp77_sample12_S1_BC176_N01,0,0.333,208,190,305,168882,171627,578414,8663,270,0.703,178638
N715_Exp77_sample12_S1_BC177_N01,0,0.334,211,188,238,167240,171604,585540,8007,234,0.707,178284
N715_Exp77_sample12_S1_BC178_N02,0,0.322,220,197,326,197250,204706,757258,19283,495,0.73,210469
N715_Exp77_sample12_S1_BC179_N01,0,0.292,211,190,337,167428,171371,703510,6134,227,0.756,174465
N715_Exp77_sample12_S1_BC180_N01,0,0.355,210,192,261,167742,170788,512948,12144,175,0.667,181552
N715_Exp77_sample12_S1_BC181_N01,0,0.315,214,193,257,167675,170715,490159,8544,243,0.652,183377
