DropBarcode,FRIP,tssProportion,meanInsertSize,medianInsertSize,nHumanReads,nMouseReads,uniqueNuclearFrags,totalNuclearFrags,totalMitoFrags,totalNCfilteredFrags,duplicateProportion,librarySize
N701_Exp28_Sample1_S1_BC192_N01,0,0.386,221,197,10846,91,11145,27278,66989,12,0.591,12586
N701_Exp28_Sample1_S1_BC193_N01,0,0.366,232,211,10913,70,11129,25384,58432,5,0.562,12955
N701_Exp28_Sample1_S1_BC194_N01,0,0.396,222,201,10838,82,11125,27846,75720,6,0.6,12457
N701_Exp28_Sample1_S1_BC195_N01,0,0.377,219,196,58,10812,11044,24632,5859,0,0.552,12998
N701_Exp28_Sample1_S1_BC196_N01,0,0.4,195,187,3983,6923,11040,18423,35723,3,0.401,16313
N701_Exp28_Sample1_S1_BC197_N03,0,0.406,215,196,295,12976,11828,35239,22911,2,0.664,12596
N701_Exp28_Sample1_S1_BC198_N01,0,0.369,217,195,10594,89,10860,29583,48608,6,0.633,11831
N701_Exp28_Sample1_S1_BC199_N01,0,0.345,231,210,10452,188,10845,25114,58834,8,0.568,12536
N701_Exp28_Sample1_S1_BC200_N01,0,0.342,220,206,10387,292,10831,21162,30436,5,0.488,13819
N701_Exp28_Sample1_S1_BC201_N01,0,0.319,246,218,10256,88,10650,23827,70474,13,0.553,12514
N701_Exp28_Sample1_S1_BC202_N01,0,0.333,245,219,10221,190,10645,30044,95904,8,0.646,11484
N701_Exp28_Sample1_S1_BC203_N01,0,0.347,230,208,30,10423,10615,23315,3638,0,0.545,12592
N701_Exp28_Sample1_S1_BC204_N01,0,0.351,231,207,10259,48,10548,26464,49798,6,0.601,11801
N701_Exp28_Sample1_S1_BC205_N03,0,0.322,217,195,115,17106,16634,31724,7585,1,0.476,21616
N701_Exp28_Sample1_S1_BC206_N01,0,0.386,231,210,10181,166,10510,24490,67238,6,0.571,12115
N701_Exp28_Sample1_S1_BC207_N01,0,0.378,226,206,10230,95,10488,25472,54511,10,0.588,11880
N701_Exp28_Sample1_S1_BC208_N01,0,0.338,233,210,10250,52,10460,20919,38506,7,0.5,13128
N701_Exp28_Sample1_S1_BC209_N01,0,0.233,235,207,5992,4325,10453,23962,40837,4,0.564,12139
N701_Exp28_Sample1_S1_BC210_N01,0,0.366,225,200,53,10158,10431,20830,4877,0,0.499,13105
N701_Exp28_Sample1_S1_BC211_N01,0,0.362,229,207,10091,118,10394,21927,58524,11,0.526,12610
N701_Exp28_Sample1_S1_BC212_N01,0,0.383,223,202,45,10146,10370,20307,4762,0,0.489,13210
N701_Exp28_Sample1_S1_BC213_N01,0,0.336,207,189,46,10165,10322,23354,4022,2,0.558,12062
N701_Exp28_Sample1_S1_BC214_N01,0,0.342,239,213,9845,105,10191,25662,60312,10,0.603,11387
N701_Exp28_Sample1_S1_BC215_N01,0,0.362,205,187,99,9895,10111,17395,4244,0,0.419,14440
N701_Exp28_Sample1_S1_BC216_N01,0,0.427,153,144,30,9984,10094,19263,3117,0,0.476,13111
N701_Exp28_Sample1_S1_BC217_N01,0,0.292,199,183,49,9897,10069,17995,6566,2,0.44,13840
N701_Exp28_Sample1_S1_BC218_N01,0,0.336,225,196,22,9857,10057,22756,1026,0,0.558,11752
N701_Exp28_Sample1_S1_BC219_N01,0,0.457,216,197,9694,136,9992,24180,48240,4,0.587,11335
N701_Exp28_Sample1_S1_BC220_N01,0,0.371,204,190,9741,110,9986,19837,55636,11,0.497,12591
N701_Exp28_Sample1_S1_BC221_N01,0,0.353,226,206,9796,56,9985,24701,76241,13,0.596,11230
N701_Exp28_Sample1_S1_BC222_N01,0,0.375,221,204,9739,77,9983,23309,94156,6,0.572,11497
N701_Exp28_Sample1_S1_BC223_N01,0,0.323,233,211,9787,42,9974,23298,58040,6,0.572,11484
N701_Exp28_Sample1_S1_BC224_N01,0,0.317,236,215,27,9703,9899,17771,3079,2,0.443,13549
N701_Exp28_Sample1_S1_BC225_N01,0,0.284,214,191,8214,1449,9835,26328,61772,12,0.626,10769
N701_Exp28_Sample1_S1_BC226_N01,0,0.347,218,202,9538,81,9760,20342,69848,9,0.52,11927
N701_Exp28_Sample1_S1_BC227_N03,0,0.337,231,204,70,14086,13411,38952,7559,1,0.656,14365
N701_Exp28_Sample1_S1_BC228_N01,0,0.274,222,203,48,9525,9694,19184,3238,0,0.495,12256
